This is pdfTeX, Version 3.14159265-2.6-1.40.20 (TeX Live 2019) (preloaded format=pdflatex 2020.2.13)  4 SEP 2020 23:50
entering extended mode
 restricted \write18 enabled.
 %&-line parsing enabled.
**main.tex
(./main.tex
LaTeX2e <2018-12-01>
(/usr/local/texlive/2019/texmf-dist/tex/latex/base/article.cls
Document Class: article 2018/09/03 v1.4i Standard LaTeX document class
(/usr/local/texlive/2019/texmf-dist/tex/latex/base/size12.clo
File: size12.clo 2018/09/03 v1.4i Standard LaTeX file (size option)
)
\c@part=\count80
\c@section=\count81
\c@subsection=\count82
\c@subsubsection=\count83
\c@paragraph=\count84
\c@subparagraph=\count85
\c@figure=\count86
\c@table=\count87
\abovecaptionskip=\skip41
\belowcaptionskip=\skip42
\bibindent=\dimen102
)
(./etc/preamble.tex (/usr/local/texlive/2019/texmf-dist/tex/latex/cmap/cmap.sty
Package: cmap 2008/03/06 v1.0h CMap support: searchable PDF
) (/usr/local/texlive/2019/texmf-dist/tex/latex/base/fontenc.sty
Package: fontenc 2018/08/11 v2.0j Standard LaTeX package

(/usr/local/texlive/2019/texmf-dist/tex/latex/cyrillic/t2aenc.def
File: t2aenc.def 2005/09/27 v1.0i Cyrillic encoding definition file
Now handling font encoding T2A ...
LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.


LaTeX Warning: Label `opr10' multiply defined.


LaTeX Warning: Label `fig:my_label' multiply defined.

) (./lectures/lect02.aux))
\openout1 = `main.aux'.

LaTeX Font Info:    Checking defaults for OML/cmm/m/it on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for T1/cmr/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for OT1/cmr/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for OMS/cmsy/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for OMX/cmex/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for U/cmr/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for T2A/cmr/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for PD1/pdf/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.
LaTeX Font Info:    Checking defaults for PU/pdf/m/n on input line 10.
LaTeX Font Info:    ... okay on input line 10.

*geometry* driver: auto-detecting
*geometry* detected driver: pdftex
*geometry* verbose mode - [ preamble ] result:
* driver: pdftex
* paper: a4paper
* layout: <same size as paper>
* layoutoffset:(h,v)=(0.0pt,0.0pt)
* modes: 
* h-part:(L,W,R)=(56.9055pt, 483.69687pt, 56.9055pt)
* v-part:(T,H,B)=(71.13188pt, 688.5567pt, 85.35826pt)
* \paperwidth=597.50787pt
* \paperheight=845.04684pt
* \textwidth=483.69687pt
* \textheight=688.5567pt
* \oddsidemargin=-15.36449pt
* \evensidemargin=-15.36449pt
* \topmargin=-38.1381pt
* \headheight=12.0pt
* \headsep=25.0pt
* \topskip=12.0pt
* \footskip=30.0pt
* \marginparwidth=35.0pt
* \marginparsep=10.0pt
* \columnsep=10.0pt
* \skip\footins=10.8pt plus 4.0pt minus 2.0pt
* \hoffset=0.0pt
* \voffset=0.0pt
* \mag=1000
* \@twocolumnfalse
* \@twosidefalse
* \@mparswitchfalse
* \@reversemarginfalse
* (1in=72.27pt=25.4mm, 1cm=28.453pt)

\AtBeginShipoutBox=\box58
Package hyperref Info: Link coloring ON on input line 10.
(/usr/local/texlive/2019/texmf-dist/tex/latex/hyperref/nameref.sty
Package: nameref 2016/05/21 v2.44 Cross-referencing by name of section

(/usr/local/texlive/2019/texmf-dist/tex/generic/oberdiek/gettitlestring.sty
Package: gettitlestring 2016/05/16 v1.5 Cleanup title references (HO)
)
\c@section@level=\count132
)
LaTeX Info: Redefining \ref on input line 10.
LaTeX Info: Redefining \pageref on input line 10.
LaTeX Info: Redefining \nameref on input line 10.

(./main.out) (./main.out)
\@outlinefile=\write3
\openout3 = `main.out'.


(/usr/local/texlive/2019/texmf-dist/tex/context/base/mkii/supp-pdf.mkii
[Loading MPS to PDF converter (version 2006.09.02).]
\scratchcounter=\count133
\scratchdimen=\dimen143
\scratchbox=\box59
\nofMPsegments=\count134
\nofMParguments=\count135
\everyMPshowfont=\toks37
\MPscratchCnt=\count136
\MPscratchDim=\dimen144
\MPnumerator=\count137
\makeMPintoPDFobject=\count138
\everyMPtoPDFconversion=\toks38
) (/usr/local/texlive/2019/texmf-dist/tex/latex/oberdiek/epstopdf-base.sty
Package: epstopdf-base 2016/05/15 v2.6 Base part for package epstopdf

(/usr/local/texlive/2019/texmf-dist/tex/latex/oberdiek/grfext.sty
Package: grfext 2016/05/16 v1.2 Manage graphics extensions (HO)
)
Package epstopdf-base Info: Redefining graphics rule for `.eps' on input line 4
38.
Package grfext Info: Graphics extension search list:
(grfext)             [.pdf,.png,.jpg,.mps,.jpeg,.jbig2,.jb2,.PDF,.PNG,.JPG,.JPE
G,.JBIG2,.JB2,.eps]
(grfext)             \AppendGraphicsExtensions on input line 456.

(/usr/local/texlive/2019/texmf-dist/tex/latex/latexconfig/epstopdf-sys.cfg
File: epstopdf-sys.cfg 2010/07/13 v1.3 Configuration of (r)epstopdf for TeX Liv
e
))
(./etc/title_page.tex
<images/logo_LTC.png, id=45, 1204.5pt x 1204.5pt>
File: images/logo_LTC.png Graphic file (type png)
<use images/logo_LTC.png>
Package pdftex.def Info: images/logo_LTC.png  used on input line 42.
(pdftex.def)             Requested size: 193.47578pt x 193.47748pt.
 [1


{/usr/local/texlive/2019/texmf-var/fonts/map/pdftex/updmap/pdftex.map} <./image
s/logo_LTC.png>]) (./main.toc<<ot1.cmap>><<oml.cmap>><<oms.cmap>><<omx.cmap>>
LaTeX Font Info:    Try loading font information for U+msa on input line 3.

(/usr/local/texlive/2019/texmf-dist/tex/latex/amsfonts/umsa.fd
File: umsa.fd 2013/01/14 v3.01 AMS symbols A
)
LaTeX Font Info:    Try loading font information for U+msb on input line 3.

(/usr/local/texlive/2019/texmf-dist/tex/latex/amsfonts/umsb.fd
File: umsb.fd 2013/01/14 v3.01 AMS symbols B
))
\tf@toc=\write4
\openout4 = `main.toc'.

pdfTeX warning (ext4): destination with the same identifier (name{page.1}) has 
been already used, duplicate ignored
<to be read again> 
                   \relax 
l.16     \include{lectures/lect01}
                                   [1]
\openout2 = `lectures/lect01.aux'.

 (./lectures/lect01.tex
Underfull \hbox (badness 10000) in paragraph at lines 18--19
[]\T2A/cmr/m/n/12 В тео-ре-ти-че-ской фи-зи-ке по-ло-жи-тель-ные и от-ри-ца-тел
ь-ные за-ря-
 []


Underfull \hbox (badness 10000) in paragraph at lines 18--19
\T2A/cmr/m/n/12 ды яв-ля-ют-ся эле-мен-та-ми сим-мет-рии. Так, с ко-лос-саль-но
й точ-но-стью
 []


Underfull \hbox (badness 10000) in paragraph at lines 18--19
[]$
 []

[2

] [3]
<images/1_1.jpg, id=101, 347.2975pt x 278.03876pt>
File: images/1_1.jpg Graphic file (type jpg)
<use images/1_1.jpg>
Package pdftex.def Info: images/1_1.jpg  used on input line 65.
(pdftex.def)             Requested size: 193.47578pt x 154.89879pt.
<images/1_2.jpg, id=102, 360.34625pt x 275.0275pt>
File: images/1_2.jpg Graphic file (type jpg)
<use images/1_2.jpg>
Package pdftex.def Info: images/1_2.jpg  used on input line 80.
(pdftex.def)             Requested size: 193.47578pt x 147.66492pt.
 [4 <./images/1_1.jpg> <./images/1_2.jpg>]
<images/1_3.jpg, id=113, 463.7325pt x 343.2825pt>
File: images/1_3.jpg Graphic file (type jpg)
<use images/1_3.jpg>
Package pdftex.def Info: images/1_3.jpg  used on input line 97.
(pdftex.def)             Requested size: 193.47578pt x 143.22433pt.
<images/1_4.jpg, id=114, 555.07375pt x 239.89626pt>
File: images/1_4.jpg Graphic file (type jpg)
<use images/1_4.jpg>
Package pdftex.def Info: images/1_4.jpg  used on input line 120.
(pdftex.def)             Requested size: 193.47578pt x 83.61719pt.
<images/1_5.jpg, id=115, 406.51875pt x 435.6275pt>
File: images/1_5.jpg Graphic file (type jpg)
<use images/1_5.jpg>
Package pdftex.def Info: images/1_5.jpg  used on input line 130.
(pdftex.def)             Requested size: 193.47578pt x 207.33069pt.
<images/1_6.jpg, id=116, 437.635pt x 303.1325pt>
File: images/1_6.jpg Graphic file (type jpg)
<use images/1_6.jpg>
Package pdftex.def Info: images/1_6.jpg  used on input line 142.
(pdftex.def)             Requested size: 193.47578pt x 134.01239pt.
 [5 <./images/1_3.jpg>]
[6 <./images/1_4.jpg> <./images/1_5.jpg> <./images/1_6.jpg>]
<images/1_7.jpg, id=134, 568.1225pt x 353.32pt>
File: images/1_7.jpg Graphic file (type jpg)
<use images/1_7.jpg>
Package pdftex.def Info: images/1_7.jpg  used on input line 173.
(pdftex.def)             Requested size: 193.47578pt x 120.32129pt.
 [7 <./images/1_7.jpg>]
<images/1_8.jpg, id=144, 617.30624pt x 295.1025pt>
File: images/1_8.jpg Graphic file (type jpg)
<use images/1_8.jpg>
Package pdftex.def Info: images/1_8.jpg  used on input line 221.
(pdftex.def)             Requested size: 193.47578pt x 92.48947pt.
) [8 <./images/1_8.jpg>]
\openout2 = `lectures/lect02.aux'.

 (./lectures/lect02.tex) [9


]
Package atveryend Info: Empty hook `BeforeClearDocument' on input line 19.
Package atveryend Info: Empty hook `AfterLastShipout' on input line 19.
 (./main.aux
(./lectures/lect01.aux) (./lectures/lect02.aux))
Package atveryend Info: Executing hook `AtVeryEndDocument' on input line 19.
Package atveryend Info: Executing hook `AtEndAfterFileList' on input line 19.
Package rerunfilecheck Info: File `main.out' has not changed.
(rerunfilecheck)             Checksum: 24D3DB18C4AED3ADF14E4870B0A68385;2424.


LaTeX Warning: There were multiply-defined labels.

Package atveryend Info: Empty hook `AtVeryVeryEnd' on input line 19.
 ) 
Here is how much of TeX's memory you used:
 12379 strings out of 492616
 170244 string characters out of 6129481
 278873 words of memory out of 5000000
 16023 multiletter control sequences out of 15000+600000
 18479 words of font info for 45 fonts, out of 8000000 for 9000
 1141 hyphenation exceptions out of 8191
 31i,8n,38p,1057b,386s stack positions out of 5000i,500n,10000p,200000b,80000s
{/usr/local/texlive/2019/texmf-dist/fonts/enc/dvips/cm-super/cm-super-t2a.enc
}</usr/local/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmex10.pfb>
</usr/local/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmmi12.pfb><
/usr/local/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmmi8.pfb></u
sr/local/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmr12.pfb></usr
/local/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmr8.pfb></usr/lo
cal/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmsy10.pfb></usr/loc
al/texlive/2019/texmf-dist/fonts/type1/public/amsfonts/cm/cmsy8.pfb></usr/local
/texlive/2019/texmf-dist/fonts/type1/public/cm-super/sfbi1440.pfb></usr/local/t
exlive/2019/texmf-dist/fonts/type1/public/cm-super/sfbx1200.pfb></usr/local/tex
live/2019/texmf-dist/fonts/type1/public/cm-super/sfbx1440.pfb></usr/local/texli
ve/2019/texmf-dist/fonts/type1/public/cm-super/sfbx1728.pfb></usr/local/texlive
/2019/texmf-dist/fonts/type1/public/cm-super/sfrm1200.pfb></usr/local/texlive/2
019/texmf-dist/fonts/type1/public/cm-super/sfrm1440.pfb></usr/local/texlive/201
9/texmf-dist/fonts/type1/public/cm-super/sfti1200.pfb>
Output written on main.pdf (10 pages, 409460 bytes).
PDF statistics:
 217 PDF objects out of 1000 (max. 8388607)
 174 compressed objects within 2 object streams
 41 named destinations out of 1000 (max. 500000)
 146 words of extra memory for PDF output out of 10000 (max. 10000000)

